videoId,videoComments,videoLikes,videoViews
yPphKQp1fqE,87,1625,90627
IlU9-2eDk-E,31,331,14467
aFu788EydFU,66,219,10992
NWzbdWf7Yts,194,3820,124536
nCglvjJkU8A,137,8329,264868
59ht-yPmeKg,46,474,21491
mO8xck5cuTA,158,2430,45572
45dqj2lce_c,39,433,8800
hsOJhs3_UCM,91,1441,58029
PPyeQEfNC0k,54,397,20924
zwjx_30zPaA,61,478,28120
jS1CKhALUBQ,318,8229,364804
rHphpyf0i0I,63,1170,19866
ieMjGVYw9ag,147,3259,119239
VgZZP8rAS-c,97,1298,85605
1-Yv6SaS5xk,32,196,5210
El6KFervVeQ,117,645,8283
wR4Xfwjr-3Y,150,1689,102255
ceJyWSgiiIA,44,290,10636
017B07EHe2M,181,5561,177878
2_gSXyt2108,81,1053,56890
ioN1jcWxbv8,271,4044,369323
vGsRwB3TsiE,92,1673,57937
COTMO2sYJh0,47,334,8066
I5VE2dHeKGE,66,1096,86512
VuQX37PiPW4,102,302,2896
liNu3Rg2V2I,61,141,3043
XoMiveY_1Z4,481,3725,237362
UZ0Yq4Lee34,30,204,6534
s9e2A04lmXI,54,965,27549
1JXrxCJoHuw,99,941,62737
PGBop7Ka9AU,63,3723,176636
D5RJDoNHs_A,184,4084,107612
015vL0cJfA0,31,1126,32468
csG_qfOTvxw,1298,53211,1691265
N6Z3_JdoNXo,36,288,6080
36B3CZ2WJu0,50,318,5620
Etksi-F5ug8,116,5654,319535
Nol1hVtLOSg,158,4610,236239
p3HbBlcXDTE,329,9520,300489
Oo9q6YtGzvc,143,2336,116215
xp0EhyraFB4,43,529,17078
q-DyjA8ZmYM,121,2937,129866
mrExsjcvF4o,359,3994,182619
jkoOpXaD0H4,71,1621,57934
UsglokDLa2o,151,2818,165850
w0PC3BTafdo,77,616,15950
vh525RjO6C0,244,4885,350047
IKhcppGF1uA,55,237,15823
UylsKI05WLE,96,341,8755
_aEMeP6DNfk,30,216,5782
GA0u6WM7_Eo,134,4746,381629
vhI0Nr1hHCY,70,927,41820
PxCCzJndruQ,139,1747,88046
XezfbWlEVwE,72,1841,104439
613lId6jm7g,88,1854,56210
1umQhC2iWdY,62,639,39028
poJ05JtqKZU,155,495,24649
7S865QCGL74,247,6065,537717
DKSZHN7jftI,132,5797,409848
RnzC2ULvp5I,50,518,32111
qWH9QH6cgQo,89,236,14774
N7MqGcBYiis,56,1024,34606
nmBqnKSSKfM,137,3797,146779
iAbhu1DN1n0,408,3819,128638
Pg1GQZe9x5A,61,1037,44229
NXoN3-BZpsQ,459,4431,161993
rxXrs4HRDVs,57,1098,31858
TpC6a273pTs,124,757,27444
