,videoId,videoDuration,videoQuality,videoKind
208,EIeNy_Rmyz4,49.0,hd,youtube#video
209,7D_E32HWB_I,58.0,hd,youtube#video
210,LIrIS6gbBgo,56.0,hd,youtube#video
211,3dpmmLiNvIU,58.0,hd,youtube#video
212,F-jtHpNDsBE,464.0,hd,youtube#video
213,DkzbCJtFvqM,1470.0,hd,youtube#video
214,3JcKh5L6gWk,361.0,hd,youtube#video
215,c7IAnlvffCA,60.0,hd,youtube#video
216,2IKUWuCRVDo,425.0,hd,youtube#video
217,Eg7w-eysowI,326.0,hd,youtube#video
218,-bCYimUwSpw,185.0,hd,youtube#video
219,JX-ChLYaHxk,59.0,hd,youtube#video
220,CuRKA61EOyc,125.0,hd,youtube#video
221,Ow_VjnWlpJU,33602.0,hd,youtube#video
222,ND4MnYliCyI,79.0,hd,youtube#video
223,EvJOyfiaVR8,193.0,hd,youtube#video
224,Uw5FE8G_gPE,182.0,hd,youtube#video
225,0aZjjDa_exY,459.0,hd,youtube#video
226,67LgPuiuO5w,42.0,hd,youtube#video
227,TxQsGgBsXJQ,141.0,hd,youtube#video
228,5HFjnhBCebg,197.0,hd,youtube#video
229,3Xx1KYRxGcc,121.0,hd,youtube#video
230,nd8CVme6pVk,90.0,hd,youtube#video
231,J7os4SuGgF0,30.0,hd,youtube#video
232,sc2Z1Am9Bi0,160.0,hd,youtube#video
233,OJ7aKTWWmGA,67.0,hd,youtube#video
234,2w2De445yso,5069.0,hd,youtube#video
235,sSoJg9qXlOg,57.0,hd,youtube#video
236,e1C8mqxeIjw,626.0,hd,youtube#video
237,RIHQ4Xl2--s,259.0,hd,youtube#video
238,tE8m-e5f5xI,304.0,hd,youtube#video
239,SMZQrJ_L1vo,4764.0,hd,youtube#video
240,u8mo0XB4IBM,455.0,hd,youtube#video
241,40LErrHCpH4,31.0,hd,youtube#video
242,5tx8kIhr7Bo,734.0,hd,youtube#video
243,zo9dXFmaEwY,14541.0,hd,youtube#video
244,vDjS0kNWvck,193.0,hd,youtube#video
245,a1J1vpvAUVA,48.0,hd,youtube#video
246,-n2tLunF45U,17124.0,hd,youtube#video
247,J_j4NAzXHv4,58.0,hd,youtube#video
248,pQnwh2xe8Ms,35.0,hd,youtube#video
249,MEH2A65BJRA,126.0,hd,youtube#video
250,tmoc3k4tqUU,25185.0,hd,youtube#video
251,uh_Y6d5vUyU,77.0,hd,youtube#video
252,bv6jZ-3vkxs,242.0,hd,youtube#video
253,kObgY12ysBQ,43.0,hd,youtube#video
254,BBwreDTaACg,123.0,hd,youtube#video
255,4ZFSQd8ZE-g,42900.0,hd,youtube#video
256,BBoZnSalb44,232.0,hd,youtube#video
257,myM5nkM_mYg,1171.0,hd,youtube#video
258,6z7ywaYUuEI,56.0,hd,youtube#video
259,lTYyQMb9MHg,79.0,hd,youtube#video
260,nvqDvhSaAVo,548.0,hd,youtube#video
261,J4HqU91yr6M,54.0,hd,youtube#video
262,aVR_OMFupXc,227.0,hd,youtube#video
263,PLcPpFqH3XY,61.0,hd,youtube#video
264,ob09oRDibiU,62.0,hd,youtube#video
265,l9_plLfltjo,55.0,hd,youtube#video
266,3ypeKvzjcPQ,198.0,hd,youtube#video
267,1Ym5Z1hX9Ys,75.0,hd,youtube#video
268,RCw3_Jue2cw,7780.0,hd,youtube#video
269,QFHyCn3y8gE,65.0,hd,youtube#video
270,nAh8PeT4K_U,142.0,hd,youtube#video
271,8DDue7sxuu8,57.0,hd,youtube#video
272,KCama8vaB9Q,127.0,hd,youtube#video
273,nSDV-iLyNP8,137.0,hd,youtube#video
274,wLcydqZcEuw,245.0,hd,youtube#video
275,ncptllFv4IE,217.0,hd,youtube#video
276,9gmxm3Svgko,27355.0,hd,youtube#video
277,V1Tl6wwAxdM,58.0,hd,youtube#video
278,_0wJc52j4c0,55.0,hd,youtube#video
279,B5ChgpWjJYo,98.0,hd,youtube#video
280,jLAE85XTXZ0,31943.0,hd,youtube#video
281,txBja4KgrXg,42897.0,hd,youtube#video
282,JH7YZprsZqk,69.0,hd,youtube#video
283,I3cXlq8ac4A,22.0,hd,youtube#video
284,laMZtf3Gt34,5656.0,hd,youtube#video
285,ha1osaf19AQ,58.0,hd,youtube#video
286,EMpHAVGtV7o,226.0,hd,youtube#video
287,3JlpM7KAqXY,688.0,hd,youtube#video
288,gZnqE02zVrw,221.0,hd,youtube#video
289,N6q1PzTaJB0,146.0,hd,youtube#video
290,qn-xwabhwIM,37.0,hd,youtube#video
291,jiqkKZLW6bI,170.0,hd,youtube#video
292,ZvGH14Uw8Uw,37.0,hd,youtube#video
293,NZnWxaIktqI,251.0,hd,youtube#video
294,OcJdDyPdCLk,158.0,hd,youtube#video
295,Uiva2NebgaA,49.0,hd,youtube#video
296,sPweo4a3SSA,790.0,hd,youtube#video
297,oMawRrnK6LQ,15183.0,hd,youtube#video
298,kLZPsQjNW0k,226.0,hd,youtube#video
299,-i_vw_KGKOA,82.0,hd,youtube#video
300,cWOpkTWg2vE,1208.0,hd,youtube#video
301,4Tuw0vfMWx4,4568.0,hd,youtube#video
302,7sMD4GwycjQ,220.0,hd,youtube#video
303,r5eryhTk3Bg,81.0,hd,youtube#video
304,_ID1g4B0I6w,24.0,hd,youtube#video
305,QBh-F9g6rag,49.0,hd,youtube#video
306,JtFnW6RVhWw,18.0,hd,youtube#video
307,6OoGB3TCri0,160.0,hd,youtube#video
308,IgvFxDUoLmM,127.0,hd,youtube#video
309,1SZ5NeLvIOo,1112.0,hd,youtube#video
310,imX5BxxVRY0,139.0,hd,youtube#video
311,KRXCiGTkfrI,66.0,hd,youtube#video
312,t8TERL8_ktY,44.0,hd,youtube#video
313,tFp_XzPTxUM,27.0,hd,youtube#video
314,HVdfgGXo-Ac,103.0,hd,youtube#video
315,ODFq7mcPRBg,552.0,hd,youtube#video
316,JeV81x8Sbyo,30172.0,hd,youtube#video
317,iYXhxHpi9Xs,19973.0,hd,youtube#video
318,x_-si03ywY0,34008.0,hd,youtube#video
319,o7a-BwaxZEg,39886.0,hd,youtube#video
320,w2OGb5pfvuE,8351.0,hd,youtube#video
321,K7G6LHm9gCo,711.0,hd,youtube#video
322,Qb3vYjdhA-8,4130.0,hd,youtube#video
323,RH4WaXTSHnA,92.0,hd,youtube#video
324,SG2as9eIvCE,35.0,hd,youtube#video
325,MxkpzopQxQA,324.0,hd,youtube#video
326,QrwZYOAmkwk,51.0,hd,youtube#video
327,vlMVf73cmzE,122.0,hd,youtube#video
328,ih82z3926lE,234.0,hd,youtube#video
329,8q66BYyow8M,2151.0,hd,youtube#video
330,Jt5rjdutMXE,41.0,hd,youtube#video
331,gcR9Gv_aaS8,24880.0,hd,youtube#video
332,O0VXCRLx_TA,533.0,hd,youtube#video
333,TY3lDxmCStI,229.0,hd,youtube#video
334,IpknED2zUa0,31801.0,hd,youtube#video
335,2LslNzy91so,165.0,hd,youtube#video
336,vFd0vxYKkIM,45.0,hd,youtube#video
337,1kVPgZGse6g,14435.0,hd,youtube#video
338,ey3WYPLSxhc,53.0,hd,youtube#video
339,busP6sf60nY,40.0,hd,youtube#video
340,a7NYUdtzh4Q,49.0,hd,youtube#video
341,l2apGB5v6U0,60.0,hd,youtube#video
342,WZzV-5e94yw,58.0,hd,youtube#video
343,PBBxGka4-wI,59.0,hd,youtube#video
344,cvJ01OOeT7w,69.0,hd,youtube#video
345,KH4DyhMqhXw,50.0,hd,youtube#video
346,zyT8SkIDzqQ,57.0,hd,youtube#video
347,QupayVv8di4,4160.0,hd,youtube#video
348,VFWD1OdQJzY,41.0,hd,youtube#video
349,5XaU0DCMuL4,958.0,hd,youtube#video
350,NrmV3C5DlZA,166.0,hd,youtube#video
351,t7ouipAtVPM,676.0,hd,youtube#video
352,iw9SiuXWSQU,105.0,hd,youtube#video
353,8Q5F_AQ9OGo,1281.0,hd,youtube#video
354,IkpGeu9lf0I,872.0,hd,youtube#video
355,5gLhIsTdqcs,163.0,hd,youtube#video
356,GktiOF98t_Q,151.0,hd,youtube#video
357,CjR6N70zb0A,20000.0,hd,youtube#video
358,BDEZGvGTbh8,14616.0,hd,youtube#video
359,-VLEkGU39Ek,56.0,hd,youtube#video
360,1_vKfyaSVZw,158.0,hd,youtube#video
361,i4W-jtOdfxk,52.0,hd,youtube#video
362,T8Gqn56H1Kc,144.0,hd,youtube#video
363,opnvaz_mbWg,35.0,hd,youtube#video
364,PQI6GI0SPh0,16881.0,hd,youtube#video
365,QKI1yTEBP5g,21955.0,hd,youtube#video
366,XKHaKw0w30k,42897.0,hd,youtube#video
367,Cf1BlqdIFU4,480.0,hd,youtube#video
368,T20LzV740lY,13116.0,hd,youtube#video
369,8f8UvA6KDyM,32.0,hd,youtube#video
370,4qiRLjwiCIE,633.0,hd,youtube#video
371,5a_-Wjpuqno,48.0,hd,youtube#video
372,M8qIRJ-sCSU,810.0,hd,youtube#video
373,va7nFC9d_y8,58.0,hd,youtube#video
374,mZyJOQqG8mY,58.0,hd,youtube#video
375,kd0szqNe5Lc,93.0,hd,youtube#video
376,MW_-2V-Bn58,53.0,hd,youtube#video
377,6_7xxoAPa7g,65.0,hd,youtube#video
378,hd1i4IYtDdY,259.0,hd,youtube#video
379,tRGvdOAunQ0,75.0,hd,youtube#video
380,KNPdTuJsYb4,42900.0,hd,youtube#video
381,FO0lZ9lHVys,24.0,hd,youtube#video
382,HbLA-8vvc_U,641.0,hd,youtube#video
383,Y68WIU4LcgA,45.0,hd,youtube#video
384,0_GgupbihTA,41.0,hd,youtube#video
385,GdhDnn_z3bs,381.0,hd,youtube#video
386,_6KBPCIFD0E,46.0,hd,youtube#video
387,6b7WAdscVuw,69.0,hd,youtube#video
388,ZKzbimEYGIw,381.0,hd,youtube#video
389,31WtbdiAaR0,226.0,hd,youtube#video
390,-_pwetyAV8Q,1830.0,hd,youtube#video
391,euDC9zI1b4Y,59.0,hd,youtube#video
392,4eoHMMf0AbM,1319.0,hd,youtube#video
393,l864XAs8WYg,232.0,hd,youtube#video
